# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), reg.,VAE (min),(max),VAE train steps,sparsity, NRMSE
3,200,10,0.6,0.1,1,1.3,0.01,200,50,2,0.1,0.9844
3,200,10,0.6,0.1,1.3,1,0.01,200,50,2,0.1,0.5756
3,200,10,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1941.5148
3,200,10,0.1,0.6,1,1.3,0.01,200,50,2,0.1,0.729
3,200,10,0.1,0.6,1.3,1,0.01,200,50,2,0.1,1.046
3,200,10,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,0.8453
3,200,10,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.1008
3,200,10,0.3,0.3,1.3,1,0.01,200,50,2,0.1,0.9189
3,200,10,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,0.6791
3,200,10,0.6,0.1,1,1.3,0.01,200,50,2,0.1,1.4256
3,200,10,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.4576
3,200,10,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.227
3,200,10,0.1,0.6,1,1.3,0.01,200,50,2,0.1,1.0038
3,200,10,0.1,0.6,1.3,1,0.01,200,50,2,0.1,0.5888
3,200,10,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,0.6912
3,200,10,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.2015
3,200,10,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.4593
3,200,10,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.4616
3,200,10,0.6,0.1,1,1.3,0.01,200,50,2,0.1,1962.7201
3,200,10,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.159
3,200,10,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,0.9537
3,200,10,0.1,0.6,1,1.3,0.01,200,50,2,0.1,0.9674
3,200,10,0.1,0.6,1.3,1,0.01,200,50,2,0.1,0.9669
3,200,10,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,1.348
3,200,10,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.8461
3,200,10,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.046
3,200,10,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.3315
3,10,200,0.6,0.1,1,1.3,0.01,200,50,2,0.1,1.4586
3,10,200,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.2313
3,10,200,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,1.539
3,10,200,0.1,0.6,1,1.3,0.01,200,50,2,0.1,0.8406
3,10,200,0.1,0.6,1.3,1,0.01,200,50,2,0.1,1.4555
3,10,200,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,0.5612
3,10,200,0.3,0.3,1,1.3,0.01,200,50,2,0.1,1.4282
3,10,200,0.3,0.3,1.3,1,0.01,200,50,2,0.1,1.4541
3,10,200,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.3515
3,10,200,0.6,0.1,1,1.3,0.01,200,50,2,0.1,1.1942
3,10,200,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.3025
3,10,200,0.6,0.1,1.25,1.25,0.01,200,50,2,0.1,0.942
3,10,200,0.1,0.6,1,1.3,0.01,200,50,2,0.1,0.8275
3,10,200,0.1,0.6,1.3,1,0.01,200,50,2,0.1,1.4639
3,10,200,0.1,0.6,1.25,1.25,0.01,200,50,2,0.1,1.2391
3,10,200,0.3,0.3,1,1.3,0.01,200,50,2,0.1,0.7682
3,10,200,0.3,0.3,1.3,1,0.01,200,50,2,0.1,0.8193
3,10,200,0.3,0.3,1.25,1.25,0.01,200,50,2,0.1,1.4325
3,10,200,0.6,0.1,1,1.3,0.01,200,50,2,0.1,1.0355
3,10,200,0.6,0.1,1.3,1,0.01,200,50,2,0.1,1.3387
