# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), weightin (min), (max), dimsrec (min), (max), reg., NRMSE (mean), (std)
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-02,1.4425,1.283780e-01
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-04,1.1437,8.042425e-02
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-06,1.0342,2.004179e-01
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-02,1.2848,8.648808e-02
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-04,0.8856,2.193836e-01
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-06,1.1023,2.642496e-01
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-02,1.4472,2.704185e-02
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-04,1.0849,4.509038e-02
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-06,1.0086,1.521842e-01
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-02,1.4302,2.874388e-02
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-04,1.1049,1.375643e-01
5,300,300,0.850,0.100,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-06,0.7807,1.090345e-01
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-02,1.3816,9.875465e-02
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-04,1.0465,2.745626e-02
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-06,60.6067,8.380035e+01
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-02,1.2899,7.150336e-02
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-04,1.1563,7.010016e-02
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-06,1.2539,1.419975e-01
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-02,1.4077,3.480201e-02
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-04,1.0756,9.850745e-02
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-06,1.2636,3.696759e-02
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-02,1.4836,1.697229e-02
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-04,0.9208,2.023797e-01
5,300,300,0.850,0.100,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-06,1.2091,1.340068e-01
