# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), weightin (min), (max), dimsrec (min), (max), epochs, reg., NRMSE (mean), (std)
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-02,0.8887,2.119245e-01
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,6,1.00e-02,0.7002,2.637464e-01
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-06,0.6750,1.022760e-01
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,6,1.00e-06,0.9724,2.928070e-01
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-02,0.6522,7.365166e-02
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,6,1.00e-02,0.8610,1.577953e-01
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-06,0.6997,2.137026e-01
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,6,1.00e-06,0.6714,9.820782e-02
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-02,0.6746,1.088934e-01
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,6,1.00e-02,0.6558,2.623150e-01
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-06,0.6948,1.758848e-01
2,100,500,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,6,1.00e-06,0.3592,1.996170e-01
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-02,0.8453,9.572334e-02
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,6,1.00e-02,0.7712,1.356877e-01
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-06,33333.7976,4.714012e+04
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,6,1.00e-06,33333.7823,4.714013e+04
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-02,0.6502,3.315857e-02
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,6,1.00e-02,0.9907,2.708690e-01
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-06,0.4439,1.339416e-01
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,6,1.00e-06,0.7801,5.397037e-02
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-02,0.5865,1.677471e-01
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,6,1.00e-02,0.8459,3.624096e-01
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-06,0.5839,3.243871e-01
2,100,500,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,6,1.00e-06,1.0183,3.551254e-01
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-02,0.4911,2.745969e-01
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,6,1.00e-02,1.0138,8.946911e-02
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-06,33333.8016,4.714012e+04
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,6,1.00e-06,0.7115,2.028475e-02
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,2,1.00e-02,0.7187,2.749710e-01
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,6,1.00e-02,0.8979,2.234796e-01
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,2,1.00e-06,0.4286,4.255974e-02
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,6,1.00e-06,0.4938,2.304237e-01
