# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), weightin (min), (max), dimsrec (min), (max), epochs, reg., NRMSE (mean), (std)
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-02,0.6626,7.886379e-02
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,5,1.00e-02,0.5321,6.135790e-02
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-06,0.6806,1.180658e-01
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,5,1.00e-06,0.9149,2.265709e-01
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-02,0.6551,2.118211e-01
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,5,1.00e-02,0.7005,2.523983e-01
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-06,0.6088,3.666529e-02
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,5,1.00e-06,0.5627,3.461553e-01
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-02,1.0466,1.267624e-01
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,5,1.00e-02,0.6783,1.382857e-01
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-06,0.7773,1.234724e-01
4,100,500,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,5,1.00e-06,0.6297,2.561596e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-02,0.7162,4.450195e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,5,1.00e-02,0.9547,2.003633e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-06,0.8503,4.153741e-02
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,5,1.00e-06,0.4024,2.561244e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-02,0.7295,1.494474e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,5,1.00e-02,0.6210,6.794396e-02
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-06,0.7352,3.213072e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,5,1.00e-06,0.4704,1.625577e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-02,0.5684,1.286386e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,5,1.00e-02,0.7155,1.869016e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-06,0.7892,3.288702e-01
4,100,500,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,5,1.00e-06,0.7400,3.084444e-01
4,100,500,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-02,0.6883,1.040387e-01
4,100,500,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,5,1.00e-02,0.9064,1.004945e-01
4,100,500,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-06,0.6422,1.473689e-01
4,100,500,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,5,1.00e-06,0.5976,1.107830e-01
4,100,500,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,2,1.00e-02,0.5609,1.017427e-01
4,100,500,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,5,1.00e-02,0.6139,1.985494e-01
