# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), weightin (min), (max), reg., NRMSE
3,200,10,0.600,0.100,1.300,1.000,0.600,0.200,1.00e-02,0.8348
3,200,10,0.600,0.100,1.500,0.500,0.600,0.200,1.00e-02,0.6744
3,200,10,0.100,0.600,1.300,1.000,0.600,0.200,1.00e-02,0.6217
3,200,10,0.100,0.600,1.500,0.500,0.600,0.200,1.00e-02,0.8593
3,200,10,0.600,0.100,1.300,1.000,0.200,0.600,1.00e-02,1.3698
3,200,10,0.600,0.100,1.500,0.500,0.200,0.600,1.00e-02,1.2466
3,200,10,0.100,0.600,1.300,1.000,0.200,0.600,1.00e-02,0.6467
3,200,10,0.100,0.600,1.500,0.500,0.200,0.600,1.00e-02,0.6441
3,200,10,0.600,0.100,1.300,1.000,0.200,0.200,1.00e-02,1.4473
3,200,10,0.600,0.100,1.500,0.500,0.200,0.200,1.00e-02,1.3320
3,200,10,0.100,0.600,1.300,1.000,0.200,0.200,1.00e-02,1.3000
3,200,10,0.100,0.600,1.500,0.500,0.200,0.200,1.00e-02,1.1704
3,500,100,0.600,0.100,1.300,1.000,0.600,0.200,1.00e-02,1.5377
3,500,100,0.600,0.100,1.500,0.500,0.600,0.200,1.00e-02,1.1742
3,500,100,0.100,0.600,1.300,1.000,0.600,0.200,1.00e-02,0.5054
3,500,100,0.100,0.600,1.500,0.500,0.600,0.200,1.00e-02,0.6230
3,500,100,0.600,0.100,1.300,1.000,0.200,0.600,1.00e-02,1.1188
3,500,100,0.600,0.100,1.500,0.500,0.200,0.600,1.00e-02,1.5163
3,500,100,0.100,0.600,1.300,1.000,0.200,0.600,1.00e-02,1.4966
3,500,100,0.100,0.600,1.500,0.500,0.200,0.600,1.00e-02,1.3762
3,500,100,0.600,0.100,1.300,1.000,0.200,0.200,1.00e-02,0.9361
3,500,100,0.600,0.100,1.500,0.500,0.200,0.200,1.00e-02,1.0445
3,500,100,0.100,0.600,1.300,1.000,0.200,0.200,1.00e-02,0.7946
3,500,100,0.100,0.600,1.500,0.500,0.200,0.200,1.00e-02,1.2370
3,200,10,0.600,0.100,1.300,1.000,0.600,0.200,1.00e-02,1.1302
3,200,10,0.600,0.100,1.500,0.500,0.600,0.200,1.00e-02,1.1588
3,200,10,0.100,0.600,1.300,1.000,0.600,0.200,1.00e-02,1.2103
3,200,10,0.100,0.600,1.500,0.500,0.600,0.200,1.00e-02,0.5476
3,200,10,0.600,0.100,1.300,1.000,0.200,0.600,1.00e-02,1.0509
3,200,10,0.600,0.100,1.500,0.500,0.200,0.600,1.00e-02,1.0746
3,200,10,0.100,0.600,1.300,1.000,0.200,0.600,1.00e-02,1.4100
3,200,10,0.100,0.600,1.500,0.500,0.200,0.600,1.00e-02,0.6800
3,200,10,0.600,0.100,1.300,1.000,0.200,0.200,1.00e-02,0.7232
3,200,10,0.600,0.100,1.500,0.500,0.200,0.200,1.00e-02,0.9598
3,200,10,0.100,0.600,1.300,1.000,0.200,0.200,1.00e-02,1.4418
3,200,10,0.100,0.600,1.500,0.500,0.200,0.200,1.00e-02,0.6180
3,500,100,0.600,0.100,1.300,1.000,0.600,0.200,1.00e-02,0.9861
3,500,100,0.600,0.100,1.500,0.500,0.600,0.200,1.00e-02,1.2237
3,500,100,0.100,0.600,1.300,1.000,0.600,0.200,1.00e-02,0.9991
3,500,100,0.100,0.600,1.500,0.500,0.600,0.200,1.00e-02,0.6081
3,500,100,0.600,0.100,1.300,1.000,0.200,0.600,1.00e-02,0.6706
3,500,100,0.600,0.100,1.500,0.500,0.200,0.600,1.00e-02,1.4067
3,500,100,0.100,0.600,1.300,1.000,0.200,0.600,1.00e-02,1.4977
3,500,100,0.100,0.600,1.500,0.500,0.200,0.600,1.00e-02,1.4261
3,500,100,0.600,0.100,1.300,1.000,0.200,0.200,1.00e-02,0.9667
3,500,100,0.600,0.100,1.500,0.500,0.200,0.200,1.00e-02,0.6634
3,500,100,0.100,0.600,1.300,1.000,0.200,0.200,1.00e-02,1.2885
3,500,100,0.100,0.600,1.500,0.500,0.200,0.200,1.00e-02,0.7417
